date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:56	169/169	------	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202019%2005:50:31%20GMT	http://demo.ovathemes.com/robots.txt		(from )
11:32:56	121802/121802	------	200	untouched ('OK')	text/html	date:Sat,%2026%20Oct%202019%2005:50:32%20GMT	http://demo.ovathemes.com/eventmana/	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/index.html	(from )
11:32:56	0/0	------	302	error ('Found')	text/html	date:Sat,%2026%20Oct%202019%2005:51:07%20GMT	http://demo.ovathemes.com/eventmana/wp-login.php?action=register	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/wp-login.1d0ddc.delayed	(from http://demo.ovathemes.com/eventmana/)
11:32:56	42/42	------	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2026%20Oct%202019%2005:50:34%20GMT	http://demo.ovathemes.com/eventmana/xmlrpc.php	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/xmlrpc.php	(from http://demo.ovathemes.com/eventmana/)
11:32:56	21205/21205	------	200	untouched ('')	application/rss+xml	etag:%222162e2fd3318f599d9c7ee7dafbfd868%22	http://demo.ovathemes.com/eventmana/feed/	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/feed/index.html	(from http://demo.ovathemes.com/eventmana/)
11:32:56	777/777	------	200	untouched ('')	application/rss+xml	etag:%22a0bf0befebe2683e115490110b57bd44%22	http://demo.ovathemes.com/eventmana/comments/feed/	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/comments/feed/index.html	(from http://demo.ovathemes.com/eventmana/)
11:32:56	29295/29295	------	200	untouched ('OK')	text/css	etag:W/%225cfde36c-726f%22	http://demo.ovathemes.com/eventmana/wp-includes/css/dist/block-library/style.min.css?ver=5.2.4	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/wp-includes/css/dist/block-library/style.min4d2c.css	(from http://demo.ovathemes.com/eventmana/)
11:32:58	14729/14729	------	200	untouched ('OK')	text/css	etag:W/%225d575aeb-3989%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from http://demo.ovathemes.com/eventmana/)
11:32:58	1685/1685	------	200	untouched ('OK')	text/css	etag:W/%225d575ae8-695%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from http://demo.ovathemes.com/eventmana/)
11:32:58	9166/9166	------	200	untouched ('OK')	text/css	etag:W/%225d575ae9-23ce%22	http://demo.ovathemes.com/eventmana/wp-content/plugins/instagram-slider-widget/assets/css/instag-slider.css?ver=1.5.0	/home/halwa/websites/evms/demo.ovathemes.com/eventmana/wp-content/plugins/instagram-slider-widget/assets/css/instag-slider91ce.css	(from http://demo.ovathemes.com/eventmana/)
